Booking ID,State,Adult,Child,partySize,Night,Permits
108,NS ,2,0,2,3,1
109,NS ,2,0,2,2,1
110,NJ ,2,0,2,1,1
111,NS ,2,3,5,2,1
112,NS ,2,2,4,3,1
113,NS ,2,0,2,7,1
114,NS ,4,0,4,1,1
115,ON ,1,0,1,1,1
116,NS ,2,0,2,3,1
117,NB ,4,0,4,2,1
118,NS ,2,2,4,2,1
119,NS ,2,0,2,1,1
120,ON ,4,0,4,1,1
121,QC ,5,0,5,1,1
122,NS ,2,0,2,1,1
123,ON ,2,0,2,2,1
124,NS ,2,2,4,3,1
125,NS ,2,0,2,1,1
126,NS ,2,0,2,3,1
127,NS ,2,2,4,3,1
128,NB ,2,0,2,1,1
129,NS ,4,0,4,1,1
130,NS ,2,0,2,2,1
131,ON ,2,0,2,1,1
132,NS ,2,0,2,3,1
133,NS ,2,2,4,3,1
134,QC ,2,0,2,1,1
135,NS ,2,1,3,2,1
136,NS ,2,0,2,3,1
137,NS ,2,0,2,2,1
138,NS ,1,2,3,3,1
139,NS ,1,1,2,2,1
140,ON ,3,0,3,1,1
141,FL ,2,0,2,1,1
142,NS ,2,0,2,2,1
143,NS ,2,0,2,2,1
144,NS ,2,0,2,1,1
145,QC ,2,0,2,4,1
146,ON ,2,2,4,2,1
147,QC ,1,0,1,1,1
148,FL ,2,0,2,2,1
149,NS ,2,0,2,3,1
150,NS ,2,0,2,2,1
151,NS ,2,0,2,1,1
152,NS ,3,3,6,2,1
153,NS ,2,0,2,2,1
154,PE ,1,0,1,1,1
155,NS ,2,0,2,1,1
156,NS ,2,1,3,1,1
157,NS ,1,2,3,1,1
158,NS ,4,0,4,4,1
159,NS ,4,0,4,3,1
160,MD ,2,0,2,3,1
161,ON ,2,0,2,1,1
162,NS ,2,0,2,2,1
163,NB ,2,0,2,2,1
164,NS ,1,0,1,2,1
165,GERMANY ,2,0,2,5,1
166,NS ,2,2,4,3,1
167,QC ,2,0,2,1,1
168,NS ,4,0,4,2,1
169,NB ,4,0,4,3,1
170,GERMANY ,2,3,5,1,1
171,NS ,2,0,2,1,1
172,QC ,2,0,2,1,1
173,NS ,2,0,2,3,1
174,QC ,2,2,4,2,1
175,NS ,2,0,2,2,1
176,NS ,2,0,2,2,1
177,NS ,2,2,4,4,1
178,NS ,2,1,3,3,1
179,PE ,2,0,2,1,1
180,QC ,2,0,2,1,1
181,NS ,2,0,2,1,1
182,NS ,2,2,4,2,1
183,NS ,4,1,5,2,1
184,NS ,4,0,4,2,1
185,NS ,2,0,2,1,1
186,NS ,2,0,2,3,1
187,NS ,2,0,2,2,1
188,NS ,2,0,2,1,1
189,NS ,2,0,2,1,1
190,BC ,4,0,4,2,1
191,NS ,2,0,2,3,1
192,NS ,2,0,2,1,1
193,NS ,2,0,2,3,1
194,NS ,4,2,6,1,1
195,ON ,1,0,1,1,1
196,QC ,3,1,4,4,1
197,NS ,1,0,1,1,1
198,NS ,2,1,3,2,1
199,ON ,2,0,2,1,1
200,NS ,2,1,3,2,1
201,NS ,2,0,2,2,1
202,NS ,2,0,2,2,1
203,NS ,2,2,4,2,1
204,NS ,2,0,2,2,1
205,NS ,2,0,2,2,1
206,NS ,4,0,4,3,1
207,NS ,1,1,2,2,1
208,VT ,2,0,2,1,1
209,ON ,2,0,2,2,1
210,NS ,2,3,5,2,1
211,GERMANY ,2,0,2,1,1
212,NS ,2,0,2,3,1
213,VA ,2,0,2,3,1
214,ON ,2,0,2,2,1
215,NS ,1,5,6,1,1
216,NS ,4,0,4,2,1
217,NS ,2,0,2,1,1
218,NS ,2,0,2,2,1
219,NS ,2,3,5,2,1
220,PE ,2,0,2,1,1
221,ON ,2,2,4,2,1
222,ON ,4,0,4,2,1
223,QC ,2,0,2,4,1
224,NS ,2,0,2,2,1
225,NS ,2,3,5,1,1
226,NS ,2,0,2,3,1
227,GERMANY ,2,0,2,1,1
228,NS ,6,0,6,1,1
229,NS ,2,0,2,1,1
230,NB ,2,2,4,3,1
231,NS ,2,0,2,2,1
232,NS ,2,0,2,2,1
233,ON ,1,0,1,1,1
234,ON ,2,0,2,1,1
235,FL ,1,0,1,1,1
236,NS ,2,0,2,2,1
237,MI ,2,0,2,3,1
238,NS ,2,0,2,2,1
239,OH ,2,0,2,1,1
240,VT ,2,2,4,3,1
241,NS ,2,2,4,1,1
242,NS ,2,0,2,5,1
243,NS ,2,2,4,3,1
244,NS ,3,0,3,1,1
245,NS ,2,2,4,1,1
246,NS ,3,1,4,3,1
247,BC ,2,0,2,2,1
248,MO ,1,0,1,1,1
249,QC ,2,3,5,3,1
250,NS ,2,0,2,2,1
251,NS ,1,3,4,2,1
252,NS ,3,1,4,2,1
253,NS ,2,0,2,2,1
254,NS ,2,0,2,1,1
255,OH ,2,0,2,1,1
256,NS ,2,2,4,3,1
257,NS ,1,1,2,1,1
258,NS ,2,0,2,2,1
259,QC ,2,0,2,2,1
260,NS ,2,0,2,1,1
261,NB ,4,0,4,1,1
262,QC ,2,0,2,1,1
263,PE ,2,0,2,3,1
264,SD ,1,0,1,2,1
265,NS ,1,0,1,3,1
266,NS ,4,0,4,1,1
267,NS ,4,0,4,1,1
268,NS ,2,0,2,2,1
269,NS ,4,0,4,1,1
270,NS ,4,0,4,2,1
271,FL ,1,0,1,1,1
272,NS ,2,0,2,2,1
273,BC ,2,0,2,1,1
274,ON ,2,2,4,2,1
275,PE ,1,0,1,1,1
276,NS ,2,0,2,2,1
277,NS ,2,0,2,3,1
278,QC ,2,0,2,1,1
279,QC ,1,0,1,4,1
280,NS ,2,4,6,1,1
281,NS ,1,0,1,1,1
282,NS ,2,2,4,8,1
283,NS ,1,0,1,1,1
284,NS ,2,3,5,3,1
285,GERMANY ,2,0,2,1,1
286,NS ,2,1,3,5,1
287,NB ,2,0,2,3,1
288,NS ,5,0,5,1,1
289,GERMANY ,2,0,2,1,1
290,ON ,2,3,5,1,1
291,NS ,2,3,5,2,1
292,NS ,3,1,4,3,1
293,NS ,2,0,2,1,1
294,ON ,2,0,2,1,1
295,NS ,4,0,4,1,1
296,NS ,2,1,3,3,1
297,NS ,2,3,5,1,1
298,QC ,1,0,1,3,1
299,NH ,2,0,2,1,1
300,ON ,2,0,2,3,1
301,NS ,2,0,2,1,1
302,NS ,2,4,6,1,1
303,NS ,2,2,4,1,1
304,NS ,2,2,4,7,1
305,ON ,1,0,1,1,1
306,NS ,2,0,2,1,1
307,ME ,2,0,2,1,1
308,NS ,2,0,2,1,1
309,NS ,2,1,3,4,1
310,NS ,2,2,4,2,1
311,NEW ZEALAND ,2,0,2,1,1
312,NS ,2,2,4,4,1
313,NS ,1,1,2,1,1
314,WI ,1,0,1,3,1
315,QC ,2,0,2,1,1
316,BC ,1,0,1,1,1
317,MB ,2,0,2,1,1
318,ON ,2,0,2,1,1
319,NS ,2,0,2,1,1
320,NS ,2,0,2,1,1
321,CA ,2,0,2,1,1
322,ON ,2,0,2,2,1
323,NS ,1,5,6,2,1
324,NS ,2,2,4,2,1
325,VT ,1,1,2,3,1
326,NS ,2,0,2,2,1
327,SWITZERLAND ,2,0,2,1,1
328,QC ,2,1,3,1,1
329,ON ,2,0,2,3,1
330,NS ,2,0,2,1,1
331,NS ,4,1,5,2,1
332,NS ,2,0,2,6,1
333,NS ,2,2,4,1,1
334,QC ,2,0,2,6,1
335,NS ,4,0,4,1,1
336,NS ,2,3,5,1,1
337,NS ,2,0,2,1,1
338,NS ,2,0,2,5,1
339,NS ,2,0,2,1,1
340,QC ,2,0,2,1,1
341,NS ,3,1,4,3,1
342,NS ,2,0,2,2,1
343,NS ,3,0,3,1,1
344,NS ,2,1,3,2,1
345,NS ,2,0,2,3,1
346,QC ,4,0,4,1,1
347,GERMANY ,2,0,2,1,1
348,NY ,1,0,1,1,1
349,ON ,3,0,3,1,1
350,GERMANY ,2,0,2,1,1
351,NS ,4,0,4,1,1
352,NS ,4,0,4,2,1
353,NS ,2,2,4,3,1
354,ON ,2,0,2,1,1
355,NS ,3,1,4,1,1
356,NS ,1,2,3,5,1
357,NS ,1,4,5,2,1
358,NS ,2,3,5,3,1
359,NS ,2,4,6,2,1
360,NS ,2,1,3,2,1
361,NS ,4,0,4,2,1
362,VA ,1,0,1,1,1
363,NS ,2,0,2,1,1
364,NS ,2,0,2,1,1
365,NS ,2,2,4,4,1
366,ON ,4,0,4,1,1
367,ON ,2,0,2,1,1
368,NS ,2,2,4,2,1
369,NETHERLANDS ,2,2,4,1,1
370,NS ,2,0,2,1,1
371,NS ,2,0,2,3,1
372,BELARUS ,2,0,2,1,1
373,NS ,2,0,2,3,1
374,NS ,1,0,1,1,1
375,NS ,2,0,2,1,1
376,NB ,1,0,1,1,1
377,ON ,2,0,2,10,1
378,NS ,1,0,1,1,1
379,NH ,2,0,2,1,1
380,ON ,1,0,1,1,1
381,WA ,2,0,2,1,1
382,NS ,2,0,2,2,1
383,NS ,3,2,5,3,1
384,QC ,2,0,2,1,1
385,NS ,1,0,1,2,1
386,BC ,1,0,1,1,1
387,QC ,2,1,3,1,1
388,NS ,1,2,3,1,1
389,NS ,2,4,6,2,1
390,NS ,4,1,5,2,1
391,ON ,2,0,2,2,1
392,NS ,2,0,2,2,1
393,QC ,2,3,5,1,1
394,QC ,2,0,2,2,1
395,NS ,3,2,5,3,1
396,QC ,2,0,2,1,1
397,NS ,2,0,2,2,1
398,FRANCE ,2,0,2,1,1
399,CO ,1,0,1,1,1
400,GERMANY ,2,0,2,2,1
401,QC ,2,0,2,1,1
402,NS ,2,2,4,2,1
403,NS ,2,0,2,2,1
404,ON ,2,0,2,1,1
405,NH ,2,0,2,2,1
406,NS ,2,0,2,2,1
407,MA ,2,0,2,1,1
408,NS ,2,0,2,3,1
409,NS ,5,0,5,2,1
410,NS ,2,1,3,3,1
411,NS ,2,0,2,3,1
412,NS ,2,4,6,1,1
413,NS ,2,0,2,1,1
414,SWITZERLAND ,2,0,2,1,1
415,NS ,2,0,2,1,1
416,NS ,2,1,3,2,1
417,NS ,4,0,4,3,1
418,NS ,2,0,2,2,1
419,NS ,2,0,2,2,1
420,NS ,4,2,6,1,1
421,SWITZERLAND ,2,0,2,1,1
422,ON ,2,0,2,1,1
423,QC ,2,1,3,1,1
424,NB ,3,3,6,4,1
425,ON ,2,3,5,1,1
426,NS ,2,0,2,2,1
427,MD ,2,0,2,1,1
428,ON ,2,0,2,2,1
429,NS ,1,0,1,2,1
430,NS ,2,2,4,2,1
431,NS ,1,0,1,1,1
432,ME ,2,0,2,4,1
433,NS ,2,2,4,2,1
434,MA ,2,0,2,2,1
435,NB ,2,0,2,1,1
436,NS ,2,0,2,1,1
437,NS ,3,2,5,3,1
438,QC ,2,0,2,2,1
439,NS ,2,0,2,2,1
440,NS ,2,2,4,10,1
441,ON ,2,2,4,3,1
442,GERMANY ,1,0,1,1,1
443,NS ,2,2,4,6,1
444,ON ,2,2,4,1,1
445,BC ,2,0,2,1,1
446,WI ,1,0,1,1,1
447,NS ,2,0,2,3,1
448,NS ,2,0,2,1,1
449,GERMANY ,2,3,5,1,1
450,SWITZERLAND ,2,0,2,1,1
451,GERMANY ,2,0,2,3,1
452,GERMANY ,5,0,5,3,1
453,SWITZERLAND ,4,2,6,3,1
454,GERMANY ,2,0,2,3,1
455,SWITZERLAND ,2,0,2,2,1
456,SWITZERLAND ,2,0,2,2,1
457,GERMANY ,2,0,2,2,1
458,GERMANY ,2,1,3,1,1
459,GERMANY ,2,0,2,3,1
460,SWITZERLAND ,2,0,2,1,1
461,GERMANY ,2,0,2,2,1
462,GERMANY ,2,3,5,4,1
463,SWITZERLAND ,2,0,2,3,1
464,GERMANY ,2,0,2,3,1
465,GERMANY ,2,0,2,7,1
466,GERMANY ,2,0,2,1,1
467,GERMANY ,1,0,1,1,1
468,GERMANY ,2,1,3,1,1
469,GERMANY ,4,2,6,1,1
470,GERMANY ,1,0,1,3,1
471,SWITZERLAND ,2,3,5,3,1
472,GERMANY ,2,0,2,1,1
473,GERMANY ,2,1,3,2,1
474,GERMANY ,1,0,1,1,1
475,GERMANY ,2,0,2,2,1
476,SWITZERLAND ,2,2,4,1,1
477,GERMANY ,2,0,2,5,1
478,GERMANY ,6,0,6,3,1
479,SWITZERLAND ,2,2,4,2,1
480,GERMANY ,2,2,4,1,1
481,GERMANY ,2,4,6,2,1
482,GERMANY ,4,0,4,1,1
483,GERMANY ,2,3,5,2,1
484,GERMANY ,1,0,1,1,1
485,GERMANY ,2,0,2,2,1
486,GERMANY ,4,0,4,3,1
487,GERMANY ,2,1,3,2,1
488,GERMANY ,2,0,2,1,1
489,GERMANY ,2,0,2,1,1
490,GERMANY ,2,4,6,2,1
491,GERMANY ,2,0,2,5,1
492,GERMANY ,2,0,2,2,1
493,SWITZERLAND ,2,0,2,1,1
494,GERMANY ,2,0,2,2,1
495,GERMANY ,6,0,6,7,1
496,GERMANY ,2,2,4,2,1
497,SWITZERLAND ,2,0,2,4,1
498,SWITZERLAND ,2,0,2,1,1
499,GERMANY ,1,0,1,1,1
500,GERMANY ,1,0,1,1,1
501,GERMANY ,2,2,4,2,1
502,GERMANY ,2,0,2,6,1
503,GERMANY ,2,3,5,3,1
504,GERMANY ,2,2,4,2,1
505,SWITZERLAND ,2,2,4,1,1
506,NS ,2,2,4,3,1
507,NS ,2,0,2,1,1
508,NS ,2,2,4,4,1
509,PE ,1,0,1,1,1
510,NS ,2,0,2,2,1
511,NS ,3,1,4,2,1
512,NS ,3,1,4,1,1
513,UK,3,0,3,1,1
514,NS ,2,0,2,2,1
515,CT ,2,0,2,1,1
516,NS ,1,3,4,1,1
517,GERMANY ,1,0,1,1,1
518,NS ,2,0,2,2,1
519,NS ,2,3,5,2,1
520,CA ,2,0,2,1,1
521,NB ,5,1,6,2,1
522,AB ,1,0,1,2,1
523,NS ,2,0,2,1,1
524,ON ,1,0,1,1,1
525,NS ,1,0,1,2,1
526,GERMANY ,2,1,3,1,1
527,NS ,2,0,2,4,1
528,AB ,2,2,4,1,1
529,NS ,1,0,1,2,1
530,NS ,2,1,3,2,1
531,NS ,2,2,4,1,1
532,NS ,3,2,5,1,1
533,NS ,1,0,1,2,1
534,NS ,2,3,5,1,1
535,ON ,2,0,2,1,1
536,ON ,2,0,2,2,1
537,NS ,2,0,2,1,1
538,NS ,2,2,4,2,1
539,NS ,2,0,2,2,1
540,QC ,2,0,2,1,1
541,NS ,2,0,2,2,1
542,MA ,2,0,2,1,1
543,NS ,2,3,5,1,1
544,NB ,2,0,2,2,1
545,AB ,2,0,2,1,1
546,NB ,2,0,2,3,1
547,NS ,2,0,2,1,1
548,NS ,3,0,3,1,1
549,NS ,3,0,3,5,1
550,SWAZILAND ,2,3,5,2,1
551,NS ,4,0,4,3,1
552,NS ,2,2,4,3,1
553,VT ,2,2,4,2,1
554,NS ,2,0,2,2,1
555,NS ,2,0,2,2,1
556,ON ,2,2,4,2,1
557,BC ,2,0,2,1,1
558,NE ,2,0,2,1,1
559,NS ,2,0,2,1,1
560,IL ,2,2,4,1,1
561,NS ,3,0,3,1,1
562,NS ,2,4,6,2,1
563,NS ,2,2,4,1,1
564,ON ,2,0,2,1,1
565,NS ,3,3,6,1,1
566,NS ,2,0,2,2,1
567,GERMANY ,1,0,1,1,1
568,NC ,2,0,2,1,1
569,NS ,2,0,2,2,1
570,NS ,1,0,1,2,1
571,NS ,2,0,2,6,1
572,QC ,1,0,1,1,1
573,ON ,2,0,2,1,1
574,NS ,2,1,3,2,1
575,NS ,2,0,2,2,1
576,NS ,2,0,2,1,1
577,NB ,2,0,2,1,1
578,AB ,3,2,5,1,1
579,FRANCE ,2,0,2,1,1
580,NS ,4,0,4,1,1
581,GERMANY ,1,0,1,2,1
582,NS ,2,0,2,2,1
583,NS ,3,0,3,1,1
584,NS ,2,1,3,2,1
585,NC ,3,0,3,4,1
586,AB ,3,0,3,2,1
587,BC ,2,0,2,4,1
588,NS ,2,0,2,1,1
589,QC ,4,0,4,2,1
590,NS ,2,0,2,1,1
591,NS ,1,0,1,1,1
592,NS ,2,0,2,5,1
593,VT ,2,0,2,1,1
594,NS ,2,2,4,1,1
595,NS ,2,0,2,3,1
596,BC ,1,0,1,1,1
597,NS ,2,1,3,2,1
598,NS ,2,0,2,2,1
599,NS ,1,0,1,3,1
600,NY ,2,0,2,1,1
601,NS ,2,0,2,2,1
602,NS ,2,0,2,3,1
603,NS ,2,1,3,2,1
604,NS ,4,0,4,2,1
605,NS ,2,0,2,2,1
606,ON ,2,0,2,1,1
607,NS ,2,0,2,6,1
608,NS ,5,1,6,3,1
609,NS ,4,0,4,1,1
610,NS ,2,4,6,2,1
611,QC ,2,0,2,6,1
612,AB ,2,1,3,1,1
613,NS ,2,2,4,2,1
614,QC ,3,0,3,2,1
615,NS ,2,0,2,2,1
616,NS ,2,0,2,2,1
617,NS ,2,0,2,2,1
618,NS ,1,0,1,1,1
619,NS ,2,0,2,4,1
620,NS ,2,2,4,1,1
621,NB ,2,0,2,2,1
622,NS ,2,1,3,1,1
623,NS ,2,0,2,2,1
624,BC ,2,0,2,3,1
625,NS ,2,0,2,1,1
626,NS ,2,2,4,1,1
627,SC ,1,0,1,1,1
628,NS ,2,0,2,5,1
629,NS ,2,0,2,3,1
630,NS ,2,0,2,3,1
631,NY ,1,0,1,1,1
632,NS ,2,1,3,3,1
633,NS ,2,0,2,2,1
634,NS ,2,0,2,3,1
635,NS ,5,0,5,1,1
636,NS ,2,0,2,2,1
637,CO ,2,0,2,1,1
638,NS ,2,0,2,4,1
639,NS ,2,0,2,1,1
640,NS ,2,0,2,3,1
641,NS ,2,0,2,2,1
642,ON ,2,0,2,2,1
643,NS ,2,0,2,2,1
644,NS ,2,0,2,2,1
645,NS ,2,0,2,2,1
646,NS ,2,0,2,2,1
647,ON ,2,1,3,2,1
648,NS ,2,0,2,3,1
649,NC ,2,0,2,1,1
650,NS ,2,1,3,3,1
651,QC ,2,0,2,1,1
652,NS ,2,2,4,2,1
653,ON ,2,0,2,3,1
654,QC ,2,0,2,1,1
655,NS ,1,1,2,1,1
656,BC ,2,0,2,2,1
657,NS ,2,0,2,2,1
658,NS ,2,0,2,4,1
659,SWITZERLAND ,1,0,1,1,1
660,QC ,1,0,1,4,1
661,ON ,2,0,2,3,1
662,ON ,2,0,2,1,1
663,NS ,2,0,2,4,1
664,NS ,2,2,4,2,1
665,NS ,2,0,2,3,1
666,NS ,1,1,2,1,1
667,NS ,2,3,5,2,1
668,NB ,1,0,1,1,1
669,NS ,2,0,2,4,1
670,NS ,2,0,2,2,1
671,NS ,2,2,4,2,1
672,ON ,2,0,2,2,1
673,NS ,2,0,2,8,1
674,NS ,6,0,6,1,1
675,NS ,1,1,2,1,1
676,ON ,2,1,3,1,1
677,NS ,1,2,3,1,1
678,NS ,1,0,1,1,1
679,NS ,1,1,2,2,1
680,NS ,4,1,5,4,1
681,NS ,2,0,2,3,1
682,OR ,2,0,2,1,1
683,NS ,2,0,2,2,1
684,NS ,2,2,4,2,1
685,NS ,2,0,2,2,1
686,NS ,2,0,2,2,1
687,NS ,2,3,5,2,1
688,QC ,1,0,1,1,1
689,NS ,2,0,2,2,1
690,NS ,2,0,2,1,1
691,QC ,3,1,4,1,1
692,NB ,2,0,2,1,1
693,ON ,2,0,2,4,1
694,MA ,2,0,2,1,1
695,NS ,2,0,2,1,1
696,ON ,2,0,2,1,1
697,NS ,1,0,1,1,1
698,NS ,2,0,2,3,1
699,PA ,3,0,3,1,1
700,ON ,1,0,1,3,1
701,NS ,1,1,2,2,1
702,NETHERLANDS ,2,2,4,2,1
703,NS ,2,0,2,2,1
704,NS ,2,0,2,2,1
705,NS ,2,0,2,2,1
706,NS ,2,0,2,3,1
707,NS ,2,2,4,2,1
708,NS ,2,2,4,3,1
709,NS ,2,3,5,3,1
710,NS ,4,0,4,3,1
711,NB ,2,0,2,2,1
712,ON ,2,0,2,1,1
713,NB ,3,2,5,2,1
714,NS ,2,0,2,2,1
715,NS ,2,0,2,2,1
716,QC ,2,2,4,2,1
717,NB ,2,0,2,1,1
718,NS ,4,0,4,2,1
719,NS ,2,0,2,1,1
720,ON ,2,0,2,1,1
721,NS ,3,0,3,2,1
722,NS ,4,2,6,2,1
723,ON ,1,0,1,1,1
724,NS ,1,0,1,3,1
725,NS ,4,0,4,1,1
726,NY ,1,0,1,1,1
727,BC ,2,0,2,1,1
728,NS ,2,0,2,3,1
729,QC ,2,0,2,1,1
730,UK,1,0,1,1,1
731,MA ,2,0,2,1,1
732,NS ,2,0,2,3,1
733,NS ,2,0,2,1,1
734,AB ,2,0,2,2,1
735,PA ,2,0,2,1,1
736,NS ,2,0,2,2,1
737,NS ,6,0,6,2,1
738,NB ,2,0,2,1,1
739,ON ,2,0,2,1,1
740,NS ,2,2,4,3,1
741,NS ,2,1,3,6,1
742,NS ,2,3,5,1,1
743,NS ,2,3,5,2,1
744,NS ,2,0,2,5,1
745,PE ,2,1,3,2,1
746,GERMANY ,2,0,2,1,1
747,NS ,3,0,3,3,1
748,NS ,2,2,4,3,1
749,NS ,2,1,3,2,1
750,ON ,2,0,2,4,1
751,NS ,2,0,2,5,1
752,NS ,1,0,1,2,1
753,GERMANY ,2,0,2,1,1
754,NS ,2,2,4,3,1
755,NS ,2,0,2,2,1
756,NS ,2,0,2,1,1
757,QC ,2,2,4,3,1
758,NS ,2,0,2,3,1
759,IN ,2,0,2,2,1
760,NB ,2,0,2,1,1
761,NS ,2,3,5,1,1
762,NS ,2,0,2,2,1
763,NS ,2,2,4,1,1
764,NS ,4,0,4,1,1
765,MA ,2,2,4,1,1
766,ME ,2,0,2,1,1
767,ON ,3,0,3,1,1
768,NS ,2,2,4,2,1
769,NS ,2,1,3,2,1
770,NS ,2,0,2,2,1
771,NS ,2,3,5,4,1
772,NS ,2,0,2,2,1
773,NS ,2,0,2,4,1
774,NS ,3,1,4,1,1
775,NS ,4,2,6,2,1
776,NS ,2,2,4,2,1
777,NS ,1,0,1,2,1
778,NS ,2,0,2,1,1
779,NS ,1,3,4,1,1
780,QC ,2,0,2,2,1
781,NB ,2,2,4,2,1
782,NS ,2,2,4,2,1
783,QC ,2,0,2,2,1
784,NS ,2,0,2,1,1
785,NS ,2,2,4,2,1
786,NS ,1,1,2,1,1
787,NS ,2,0,2,2,1
788,NS ,2,0,2,1,1
789,NS ,2,2,4,2,1
790,NS ,2,2,4,3,1
791,QC ,2,0,2,1,1
792,WA ,2,0,2,1,1
793,NS ,2,2,4,3,1
794,SWITZERLAND ,2,2,4,1,1
795,NS ,4,0,4,1,1
796,QC ,2,0,2,1,1
797,QC ,2,0,2,1,1
798,NS ,2,6,8,3,1
799,NS ,2,0,2,2,1
800,MB,2,0,2,1,1
801,AB ,2,0,2,4,1
802,QC ,2,0,2,1,1
803,ON ,2,1,3,3,1
804,AB ,2,0,2,3,1
805,NS ,1,1,2,2,1
806,QC ,1,0,1,1,1
807,ME ,2,0,2,1,1
808,NS ,1,0,1,1,1
809,NY ,2,0,2,1,1
810,NS ,6,0,6,1,1
811,NS ,4,1,5,2,1
812,NS ,4,2,6,4,1
813,NB ,2,0,2,3,1
814,ON ,2,0,2,1,1
815,ON ,1,0,1,1,1
816,ON ,1,0,1,1,1
817,NS ,2,0,2,1,1
818,NS ,2,0,2,3,1
819,NS ,2,0,2,1,1
820,NS ,2,0,2,3,1
821,NS ,2,0,2,4,1
822,NS ,1,1,2,1,1
823,NS ,2,0,2,3,1
824,ON ,2,0,2,6,1
825,QC ,2,0,2,3,1
826,GERMANY ,2,2,4,1,1
827,NH ,2,0,2,3,1
828,QC ,2,0,2,1,1
829,NS ,2,2,4,5,1
830,NS ,2,1,3,2,1
831,NS ,2,0,2,2,1
832,NS ,2,0,2,2,1
833,NS ,1,1,2,2,1
834,AB ,1,0,1,1,1
835,NS ,2,3,5,1,1
836,ON ,3,0,3,1,1
837,NS ,2,1,3,2,1
838,GERMANY ,2,0,2,1,1
839,BC ,2,0,2,1,1
840,NS ,2,2,4,2,1
841,NS ,3,1,4,1,1
842,NS ,1,0,1,3,1
843,ON ,2,0,2,3,1
844,NS ,2,2,4,3,1
845,QC ,2,2,4,5,1
846,ON ,2,2,4,1,1
847,NETHERLANDS ,1,2,3,1,1
848,PA ,3,0,3,1,1
849,NS ,1,3,4,2,1
